Jugador,Temporadas,Puntos totales,Promedios pt por partido,Rebotes totales,Promedio rebotes,Asistencias totales,Promedio asistencias,Robos totales,Bloqueos totales,Tiros campo pct,Tiros libres pct,Tiros triples pct
John Stockton,19,19711,13.1,4059,2.7,15806,10.5,3265,315,51.5,82.6,38.4
Michael Jordan,15,32292,30.1,6672,6.2,5633,5.3,2514,893,49.7,83.5,32.7
Scottie Pippen,17,18940,16.1,7494,6.4,6135,5.2,2307,947,47.3,70.4,32.6
Clyde Drexler,15,22195,20.4,6899,6.1,6125,5.6,2207,719,47.2,78.8,31.8
Karl Malone,19,36928,25,14968,10.1,5248,3.6,2085,1145,51.6,74.2,27.4
Magic Johnson,13,17707,19.5,6559,7.2,10141,11.2,1724,374,52,84.8,30.3
Charles Barkley,16,23757,22.1,12546,11.7,4215,3.9,1645,888,54,73.5,26.6
Larry Bird,13,21791,24.3,8974,10,5695,6.3,1556,755,49.6,88.6,37.6
Chris Mullin,16,17911,18.2,4267,4.1,3450,3.5,1532,349,50.9,86.4,38.4
David Robinson,14,20790,21.1,10751,10.6,2441,2.5,1388,2954,51.8,73.6,25
Patrick Ewing,17,24815,21,11585,9.8,2894,2,1136,2894,50.4,74,29.4
Christian Laettner,13,4956,6.1,2606,3.2,1092,1.3,253,161,51.8,82.2,48.5
John Stockton,19,19711,13.1,4059,2.7,15806,10.5,3265,315,51.5,82.6,38.4
Michael Jordan,15,32292,30.1,6672,6.2,5633,5.3,2514,893,49.7,83.5,32.7
Scottie Pippen,17,18940,16.1,7494,6.4,6135,5.2,2307,947,47.3,70.4,32.6
Clyde Drexler,15,22195,20.4,6899,6.1,6125,5.6,2207,719,47.2,78.8,31.8
Karl Malone,19,36928,25,14968,10.1,5248,3.6,2085,1145,51.6,74.2,27.4
Magic Johnson,13,17707,19.5,6559,7.2,10141,11.2,1724,374,52,84.8,30.3
Charles Barkley,16,23757,22.1,12546,11.7,4215,3.9,1645,888,54,73.5,26.6
Larry Bird,13,21791,24.3,8974,10,5695,6.3,1556,755,49.6,88.6,37.6
Chris Mullin,16,17911,18.2,4267,4.1,3450,3.5,1532,349,50.9,86.4,38.4
David Robinson,14,20790,21.1,10751,10.6,2441,2.5,1388,2954,51.8,73.6,25
Patrick Ewing,17,24815,21,11585,9.8,2894,2,1136,2894,50.4,74,29.4
Christian Laettner,13,4956,6.1,2606,3.2,1092,1.3,253,161,51.8,82.2,48.5
John Stockton,19,19711,13.1,4059,2.7,15806,10.5,3265,315,51.5,82.6,38.4
Michael Jordan,15,32292,30.1,6672,6.2,5633,5.3,2514,893,49.7,83.5,32.7
Scottie Pippen,17,18940,16.1,7494,6.4,6135,5.2,2307,947,47.3,70.4,32.6
Clyde Drexler,15,22195,20.4,6899,6.1,6125,5.6,2207,719,47.2,78.8,31.8
Karl Malone,19,36928,25,14968,10.1,5248,3.6,2085,1145,51.6,74.2,27.4
Magic Johnson,13,17707,19.5,6559,7.2,10141,11.2,1724,374,52,84.8,30.3
Charles Barkley,16,23757,22.1,12546,11.7,4215,3.9,1645,888,54,73.5,26.6
Larry Bird,13,21791,24.3,8974,10,5695,6.3,1556,755,49.6,88.6,37.6
Chris Mullin,16,17911,18.2,4267,4.1,3450,3.5,1532,349,50.9,86.4,38.4
David Robinson,14,20790,21.1,10751,10.6,2441,2.5,1388,2954,51.8,73.6,25
Patrick Ewing,17,24815,21,11585,9.8,2894,2,1136,2894,50.4,74,29.4
Christian Laettner,13,4956,6.1,2606,3.2,1092,1.3,253,161,51.8,82.2,48.5
